"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"38856012-0027";"38856012-0027-3";"2020-05-26 21:06:06";"2020-05-28 10:00:00";"Доставлен";"299.00";"Арт носки ""Арбузное настроение""";"170017753";"M1137";"299.00";"1"
"05807182-0031";"05807182-0031-1";"2020-05-26 20:23:06";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"331.00";"1"
"19543881-0054";"19543881-0054-5";"2020-05-26 20:11:04";"2020-05-30 10:00:00";"Доставлен";"299.00";"Носки ""Цветочный сад""";"169099589";"239";"299.00";"1"
"46898674-0001";"46898674-0001-4";"2020-05-26 18:41:52";"2020-05-28 10:00:00";"Доставлен";"319.00";"Носки ""Собакен""";"168914236";"185";"319.00";"1"
"46898674-0001";"46898674-0001-4";"2020-05-26 18:41:52";"2020-05-28 10:00:00";"Доставлен";"319.00";"Носки ""Наш пёс""";"169038358";"199";"319.00";"1"
"20266536-0054";"20266536-0054-4";"2020-05-26 16:11:35";"2020-05-29 10:00:00";"Доставлен";"299.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"299.00";"1"
"40039538-0003";"40039538-0003-2";"2020-05-26 15:57:07";"2020-05-27 10:00:00";"Доставлен";"319.00";"Носки ""Лиза Симпсон""";"169570222";"402";"319.00";"1"
"00239902-0264";"00239902-0264-3";"2020-05-26 15:52:47";"2020-05-27 10:00:00";"Доставлен";"299.00";"Носки""Депрессия""";"169198488";"281";"299.00";"1"
"32717378-0054";"32717378-0054-4";"2020-05-26 15:16:00";"2020-05-27 10:00:00";"Доставлен";"319.00";"Носки ""Голубь""";"168797016";"126";"319.00";"1"
"32717378-0054";"32717378-0054-4";"2020-05-26 15:16:00";"2020-05-27 10:00:00";"Доставлен";"349.00";"Носки ""Дарт Вейдер""";"169197601";"265";"349.00";"1"
"41538043-0020";"41538043-0020-3";"2020-05-26 15:16:13";"2020-05-27 10:00:00";"Доставлен";"539.00";"Носки ""Авокадо набор""";"169387794";"390";"539.00";"1"
"28680825-0007";"28680825-0007-2";"2020-05-26 14:05:25";"2020-05-27 10:00:00";"Доставлен";"331.00";"Арт носки ""Корова""";"169830810";"M1095-det";"331.00";"1"
"06364585-0046";"06364585-0046-2";"2020-05-26 13:46:49";"2020-06-01 10:00:00";"Отменен";"331.00";"Арт носки ""Банан тусовщик""";"169830878";"M1279-det";"331.00";"1"
"46742674-0002";"46742674-0002-3";"2020-05-26 12:53:51";"2020-05-27 10:00:00";"Доставлен";"331.00";"Арт носки ""Пицца""";"169831197";"M1256";"331.00";"1"
"34889330-0012";"34889330-0012-2";"2020-05-26 12:24:29";"2020-05-27 10:00:00";"Отменен";"319.00";"Носки ""Для нее""";"169099587";"240";"319.00";"1"
"15493397-0063";"15493397-0063-1";"2020-05-26 12:15:26";"2020-05-27 10:00:00";"Доставлен";"469.00";"Носки ""Мужской набор""";"169346686";"386";"469.00";"1"
"46898529-0001";"46898529-0001-2";"2020-05-26 11:52:11";"2020-05-28 10:00:00";"Доставлен";"319.00";"Носки ""Мандаринка""";"168915662";"104";"319.00";"1"
"46898529-0001";"46898529-0001-2";"2020-05-26 11:52:11";"2020-05-28 10:00:00";"Доставлен";"359.00";"Носки ""Капельки""";"169256362";"329";"359.00";"1"
"46910656-0001";"46910656-0001-4";"2020-05-26 09:43:05";"2020-05-27 10:00:00";"Доставлен";"319.00";"Носки ""Долина кактусов""";"169099528";"259";"319.00";"1"
"46910656-0001";"46910656-0001-4";"2020-05-26 09:43:05";"2020-05-27 10:00:00";"Доставлен";"299.00";"Носки ""Маленькая панда""";"169256377";"321";"299.00";"1"
"19620083-0038";"19620083-0038-1";"2020-05-26 08:18:28";"2020-05-27 10:00:00";"Доставлен";"299.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"299.00";"1"
"19620083-0038";"19620083-0038-1";"2020-05-26 08:18:28";"2020-05-27 10:00:00";"Доставлен";"299.00";"Арт носки ""Ночной дожор""";"169834580";"M1292-det";"299.00";"1"
"19620083-0038";"19620083-0038-1";"2020-05-26 08:18:28";"2020-05-27 10:00:00";"Доставлен";"299.00";"Арт носки ""Хот дог""";"169917428";"M1127-det";"299.00";"1"
"36454263-0059";"36454263-0059-2";"2020-05-26 08:07:58";"2020-05-27 10:00:00";"Доставлен";"299.00";"Носки ""Муравей""";"169099518";"261";"299.00";"1"
"36454263-0059";"36454263-0059-2";"2020-05-26 08:07:58";"2020-05-27 10:00:00";"Доставлен";"279.00";"Носки ""Учёный""";"169231277";"290";"279.00";"1"
"36454263-0059";"36454263-0059-2";"2020-05-26 08:07:58";"2020-05-27 10:00:00";"Доставлен";"279.00";"Носки ""Барт Симс""";"169334632";"372";"279.00";"1"
"18367712-0039";"18367712-0039-3";"2020-05-26 08:01:21";"2020-05-27 10:00:00";"Доставлен";"897.00";"Носки ""Вселенная""";"168706740";"129";"299.00";"3"
"04871411-0031";"04871411-0031-2";"2020-05-26 07:33:46";"2020-05-28 10:00:00";"Отменен";"331.00";"Арт носки ""Звездный пейзаж""";"169831142";"M1002-det";"331.00";"1"
"44556691-0002";"44556691-0002-4";"2020-05-25 19:45:03";"2020-05-27 10:00:00";"Доставляется";"319.00";"Носки ""Пиво и пицца""";"168797007";"134";"319.00";"1"
"03597091-0082";"03597091-0082-3";"2020-05-25 19:21:09";"2020-05-27 10:00:00";"Доставлен";"319.00";"Носки ""Лама""";"169099539";"258";"319.00";"1"
"03597091-0082";"03597091-0082-3";"2020-05-25 19:21:09";"2020-05-27 10:00:00";"Доставлен";"319.00";"Носки ""Пчелиная прогулка""";"169293102";"343";"319.00";"1"
"45413744-0001";"45413744-0001-3";"2020-05-25 18:57:55";"2020-05-27 10:00:00";"Доставлен";"309.00";"Носки ""Ночной город""";"169334736";"362";"309.00";"1"
"45877991-0004";"45877991-0004-1";"2020-05-25 18:51:14";"2020-05-27 10:00:00";"Доставлен";"449.00";"Носки ""Звездные войны""";"169231287";"287";"449.00";"1"
"03191645-0073";"03191645-0073-4";"2020-05-25 15:03:37";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Спанч Боб""";"169831415";"M1078";"331.00";"1"
"43497870-0006";"43497870-0006-3";"2020-05-25 13:57:44";"2020-05-26 10:00:00";"Отменен";"331.00";"Арт носки ""Гомер Симпсон""";"169830861";"M1309-det";"331.00";"1"
"43497870-0006";"43497870-0006-3";"2020-05-25 13:57:44";"2020-05-26 10:00:00";"Отменен";"331.00";"Арт носки ""Баскетбол""";"169830941";"M1067-det";"331.00";"1"
"43497870-0006";"43497870-0006-3";"2020-05-25 13:57:44";"2020-05-26 10:00:00";"Отменен";"331.00";"Арт носки ""Марвел Тор""";"170501056";"M1013-det";"331.00";"1"
"44752870-0008";"44752870-0008-4";"2020-05-25 11:53:46";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Клоун""";"169830691";"M1115-det";"331.00";"1"
"43425646-0026";"43425646-0026-3";"2020-05-25 11:48:46";"2020-05-26 10:00:00";"Доставлен";"299.00";"Носки ""Супермен""";"169256371";"323";"299.00";"1"
"05393474-0011";"05393474-0011-3";"2020-05-25 11:38:52";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Рик Энштейн""";"169834477";"M1211-det";"331.00";"1"
"34656620-0010";"34656620-0010-3";"2020-05-25 11:33:40";"2020-05-26 10:00:00";"Доставлен";"319.00";"Носки ""Любимый пёсик""";"168914650";"164";"319.00";"1"
"34656620-0010";"34656620-0010-3";"2020-05-25 11:33:40";"2020-05-26 10:00:00";"Доставлен";"299.00";"Носки ""Ушки""";"169293139";"297";"299.00";"1"
"35973751-0012";"35973751-0012-3";"2020-05-25 08:05:43";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Бард Симпсон""";"169831194";"M1285";"331.00";"1"
"32510567-0002";"32510567-0002-2";"2020-05-25 07:45:38";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Мопс присел""";"169917488";"M1117";"331.00";"1"
"24971221-0010";"24971221-0010-6";"2020-05-25 06:19:08";"2020-05-27 10:00:00";"Доставлен";"331.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"331.00";"1"
"07357805-0018";"07357805-0018-2";"2020-05-25 06:26:58";"2020-05-26 10:00:00";"Доставлен";"319.00";"Носки ""Котики""";"169198502";"276";"319.00";"1"
"39441422-0003";"39441422-0003-3";"2020-05-25 06:26:12";"2020-05-28 10:00:00";"Отменен";"299.00";"Носки ""Маленькие рыбки""";"169293121";"334";"299.00";"1"
"32717378-0053";"32717378-0053-4";"2020-05-24 19:51:34";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Мопс присел""";"169830477";"M1117-det";"331.00";"1"
"14838194-0046";"14838194-0046-2";"2020-05-24 19:42:50";"2020-05-26 10:00:00";"Доставлен";"319.00";"Носки ""Ананасы""";"168914645";"178";"319.00";"1"
"14838194-0046";"14838194-0046-2";"2020-05-24 19:42:50";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Супер мэн""";"169834517";"M1246-det";"331.00";"1"
"32362673-0012";"32362673-0012-2";"2020-05-24 19:09:36";"2020-05-26 10:00:00";"Доставлен";"319.00";"Женские дизайнерские носки с принтом Арт. ""Вино""";"170771375";"433";"319.00";"1"
"42576577-0009";"42576577-0009-3";"2020-05-24 16:38:47";"2020-05-26 10:00:00";"Доставлен";"331.00";"Арт носки ""Гомер Симпсон""";"169832046";"M1188";"331.00";"1"
"10962202-0114";"10962202-0114-4";"2020-05-24 15:02:46";"2020-05-26 10:00:00";"Доставлен";"309.00";"Носки с принтом ""Авокадо""";"168720421";"101";"309.00";"1"
"11312410-0159";"11312410-0159-5";"2020-05-24 13:56:03";"2020-05-25 10:00:00";"Доставлен";"299.00";"Арт носки ""Замороженное безумие""";"169830870";"M1297-det";"299.00";"1"
"32913731-0015";"32913731-0015-2";"2020-05-24 13:11:32";"2020-05-25 10:00:00";"Доставлен";"289.00";"Носки ""Чокнутый профессор""";"169099573";"247";"289.00";"1"
"32105959-0013";"32105959-0013-1";"2020-05-24 11:40:51";"2020-05-25 10:00:00";"Доставлен";"319.00";"Носки ""Сочный гранат""";"169038371";"217";"319.00";"1"
"25870502-0002";"25870502-0002-1";"2020-05-24 11:06:12";"2020-05-30 10:00:00";"Доставлен";"331.00";"Носки с принтом ""Авокадо""";"168720421";"101";"331.00";"1"
"46843309-0001";"46843309-0001-1";"2020-05-24 10:48:17";"2020-05-25 10:00:00";"Доставлен";"331.00";"Арт носки ""Гомер Симпсон""";"169832046";"M1188";"331.00";"1"
"07048422-0093";"07048422-0093-3";"2020-05-24 06:54:49";"2020-05-29 10:00:00";"Доставлен";"331.00";"Арт носки ""Звездный пейзаж""";"169831142";"M1002-det";"331.00";"1"
"45324322-0002";"45324322-0002-3";"2020-05-24 06:24:42";"2020-05-26 10:00:00";"Доставлен";"331.00";"Носки с принтом ""Авокадо""";"168720421";"101";"331.00";"1"
"31250722-0008";"31250722-0008-6";"2020-05-23 21:49:46";"2020-05-25 10:00:00";"Доставлен";"449.00";"Носки ""Звездные войны""";"169231287";"287";"449.00";"1"
"05097856-0016";"05097856-0016-1";"2020-05-23 21:13:41";"2020-05-25 10:00:00";"Доставлен";"299.00";"Арт носки ""Хищные будни""";"169831102";"M1008-det";"299.00";"1"
"11142402-0046";"11142402-0046-3";"2020-05-23 21:11:44";"2020-05-25 10:00:00";"Доставлен";"299.00";"Носки ""Супермен""";"169256371";"323";"299.00";"1"
"12992768-0132";"12992768-0132-2";"2020-05-23 20:55:50";"2020-05-25 10:00:00";"Доставлен";"349.00";"Носки ""Гомер Симпсон""";"169334737";"361";"349.00";"1"
"03030212-0027";"03030212-0027-1";"2020-05-23 18:43:21";"2020-05-25 10:00:00";"Доставлен";"339.00";"Арт носки ""Попугай""";"169836689";"M1027";"339.00";"1"
"39829216-0010";"39829216-0010-1";"2020-05-23 17:05:58";"2020-05-25 10:00:00";"Доставлен";"319.00";"Носки ""Баскетбол""";"168914649";"165";"319.00";"1"
"46626351-0002";"46626351-0002-1";"2020-05-23 15:25:00";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Весь мир у моих ног""";"169832605";"M1152-det";"331.00";"1"
"37306227-0011";"37306227-0011-1";"2020-05-23 15:23:48";"2020-05-24 10:00:00";"Доставлен";"369.00";"Носки""Симпсон семейство""";"169198508";"272";"369.00";"1"
"10898627-0043";"10898627-0043-1";"2020-05-23 15:06:07";"2020-05-24 10:00:00";"Доставлен";"349.00";"Носки ""Кубики""";"169293138";"300";"349.00";"1"
"06276332-0015";"06276332-0015-2";"2020-05-23 14:42:35";"2020-05-29 10:00:00";"Доставлен";"331.00";"Арт носки ""Спанч Боб""";"169830907";"M1011-det";"331.00";"1"
"03057127-0083";"03057127-0083-3";"2020-05-23 14:18:45";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Лаймовый ураган""";"169830807";"M1091-det";"331.00";"1"
"34504562-0004";"34504562-0004-3";"2020-05-23 12:43:05";"2020-05-24 10:00:00";"Доставлен";"499.00";"Носки ""Веселые пончики""";"169048376";"191";"499.00";"1"
"34504562-0004";"34504562-0004-3";"2020-05-23 12:43:05";"2020-05-24 10:00:00";"Доставлен";"331.00";"Носки женские дизайнерские с принтом Арт. ""Нутелла""";"171425404";"439";"331.00";"1"
"12790568-0162";"12790568-0162-3";"2020-05-23 12:23:48";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Рик Энштейн""";"169834477";"M1211-det";"331.00";"1"
"15169171-0063";"15169171-0063-3";"2020-05-23 12:23:13";"2020-05-24 10:00:00";"Доставлен";"299.00";"Арт носки ""Собачье счастье""";"169830850";"M1082-det";"299.00";"1"
"15169171-0063";"15169171-0063-3";"2020-05-23 12:23:13";"2020-05-24 10:00:00";"Доставлен";"299.00";"Арт носки ""Счастье в мелочах""";"169832641";"M1237-det";"299.00";"1"
"15169171-0063";"15169171-0063-3";"2020-05-23 12:23:13";"2020-05-24 10:00:00";"Доставлен";"299.00";"Арт носки ""Штурмовик""";"169834489";"M1216-det";"299.00";"1"
"15169171-0063";"15169171-0063-3";"2020-05-23 12:23:13";"2020-05-24 10:00:00";"Доставлен";"299.00";"Арт носки ""День  мертвых""";"169834498";"M1228-det";"299.00";"1"
"15169171-0063";"15169171-0063-3";"2020-05-23 12:23:13";"2020-05-24 10:00:00";"Доставлен";"299.00";"Арт носки ""Человек паук""";"169834516";"M1247-det";"299.00";"1"
"46809767-0003";"46809767-0003-3";"2020-05-23 12:14:36";"2020-05-28 10:00:00";"Доставлен";"370.00";"Носки мужские 3D ""Баскетболист Коби Брайант""";"170707480";"429";"370.00";"1"
"34358930-0009";"34358930-0009-4";"2020-05-23 11:19:06";"2020-05-24 10:00:00";"Доставлен";"319.00";"Арт носки Море пива";"169830241";"M1009";"319.00";"1"
"06069902-0092";"06069902-0092-3";"2020-05-23 10:55:20";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Зебра""";"169830920";"M1025-det";"331.00";"1"
"06069902-0092";"06069902-0092-3";"2020-05-23 10:55:20";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Футбол""";"169830944";"M1066-det";"331.00";"1"
"06069902-0092";"06069902-0092-3";"2020-05-23 10:55:20";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Сквидвард""";"169831023";"M1034-det";"331.00";"1"
"06069902-0092";"06069902-0092-3";"2020-05-23 10:55:20";"2020-05-28 10:00:00";"Доставлен";"331.00";"Арт носки ""Кошачьи эмоции""";"169835588";"M1195-det";"331.00";"1"
"30085159-0009";"30085159-0009-3";"2020-05-23 10:15:01";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Разнообразие красоты""";"169834522";"M1254-det";"331.00";"1"
"07662016-0225";"07662016-0225-1";"2020-05-23 06:15:52";"2020-05-26 10:00:00";"Доставлен";"299.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"299.00";"1"
"11570778-0038";"11570778-0038-3";"2020-05-22 20:33:14";"2020-05-28 10:00:00";"Доставлен";"319.00";"Носки ""Веселый профессор""";"169099519";"260";"319.00";"1"
"11570778-0038";"11570778-0038-3";"2020-05-22 20:33:14";"2020-05-28 10:00:00";"Доставлен";"349.00";"Носки ""Дарт Вейдер""";"169197601";"265";"349.00";"1"
"14367720-0022";"14367720-0022-2";"2020-05-22 18:53:54";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Корона""";"169830683";"M1106-det";"331.00";"1"
"45915731-0003";"45915731-0003-6";"2020-05-22 16:42:30";"2020-05-24 10:00:00";"Доставлен";"319.00";"Носки ""Банановый микс""";"169108913";"248";"319.00";"1"
"10120593-0113";"10120593-0113-3";"2020-05-22 15:20:30";"2020-05-23 10:00:00";"Доставлен";"331.00";"Носки женские дизайнерские с принтом Арт. ""Рик""";"171473971";"440";"331.00";"1"
"10712345-0018";"10712345-0018-4";"2020-05-22 13:17:38";"2020-05-23 10:00:00";"Доставлен";"319.00";"Носки ""Голубь""";"168797016";"126";"319.00";"1"
"39746859-0021";"39746859-0021-2";"2020-05-22 12:25:13";"2020-05-23 10:00:00";"Доставлен";"319.00";"Носки ""Челюсти""";"169038357";"200";"319.00";"1"
"46777627-0001";"46777627-0001-2";"2020-05-22 11:34:57";"2020-05-24 10:00:00";"Доставлен";"339.00";"Арт носки ""Марвел Тор""";"170324739";"M1013";"339.00";"1"
"08773061-0198";"08773061-0198-5";"2020-05-22 11:04:08";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Марвел Тор""";"170501056";"M1013-det";"331.00";"1"
"36770560-0039";"36770560-0039-1";"2020-05-22 10:39:47";"2020-05-23 10:00:00";"Доставлен";"299.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"299.00";"1"
"14705116-0104";"14705116-0104-4";"2020-05-22 10:31:28";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Корова""";"169831745";"M1095";"331.00";"1"
"33958680-0009";"33958680-0009-1";"2020-05-22 07:57:12";"2020-05-23 10:00:00";"Доставлен";"350.00";"Носки мужские дизайнерские с принтом ""Бетмен""";"172065900";"444";"350.00";"1"
"17324796-0149";"17324796-0149-2";"2020-05-21 20:40:43";"2020-05-23 10:00:00";"Доставлен";"299.00";"Арт носки ""Зеленые человечики""";"169835105";"M1149-det";"299.00";"1"
"18737037-0039";"18737037-0039-3";"2020-05-21 20:29:38";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Мандариновые романсы""";"169830684";"M1107-det";"331.00";"1"
"18737037-0039";"18737037-0039-3";"2020-05-21 20:29:38";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Слизерин """;"169830868";"M1300-det";"331.00";"1"
"18737037-0039";"18737037-0039-3";"2020-05-21 20:29:38";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Пустыня""";"169830938";"M1069-det";"331.00";"1"
"18737037-0039";"18737037-0039-3";"2020-05-21 20:29:38";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Огни гирлянд""";"169834523";"M1251-det";"331.00";"1"
"18737037-0039";"18737037-0039-3";"2020-05-21 20:29:38";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""И мы счастливы!""";"169912051";"M1174-det";"331.00";"1"
"31045478-0022";"31045478-0022-3";"2020-05-21 17:00:52";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Микки маус""";"169831413";"M1074";"331.00";"1"
"31045478-0022";"31045478-0022-3";"2020-05-21 17:00:52";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Вечеринка ананасов""";"169831609";"M1089";"331.00";"1"
"31045478-0022";"31045478-0022-3";"2020-05-21 17:00:52";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Микки Маус""";"169834783";"M1059";"331.00";"1"
"40314662-0007";"40314662-0007-4";"2020-05-21 16:30:36";"2020-05-23 10:00:00";"Доставлен";"319.00";"Носки ""Арбуз""";"168796935";"155";"319.00";"1"
"14124046-0194";"14124046-0194-5";"2020-05-21 16:17:40";"2020-05-23 10:00:00";"Доставлен";"299.00";"Арт носки ""Слизерин """;"169830868";"M1300-det";"299.00";"1"
"17984430-0012";"17984430-0012-3";"2020-05-21 14:39:11";"2020-05-23 10:00:00";"Доставлен";"331.00";"Арт носки ""Мопс присел""";"169830477";"M1117-det";"331.00";"1"
"46742674-0001";"46742674-0001-3";"2020-05-21 12:02:47";"2020-05-23 10:00:00";"Доставлен";"319.00";"Носки ""Пиво и пицца""";"168797007";"134";"319.00";"1"
"18468415-0079";"18468415-0079-3";"2020-05-21 06:52:23";"2020-05-22 10:00:00";"Доставлен";"299.00";"Носки ""Детские""";"168796956";"148";"299.00";"1"
"38504990-0031";"38504990-0031-3";"2020-05-21 06:37:48";"2020-05-22 10:00:00";"Доставлен";"545.00";"Носки женские в комплекте ""Отвали ваще""";"170321101";"409";"545.00";"1"
"16786066-0142";"16786066-0142-2";"2020-05-21 06:23:56";"2020-05-22 10:00:00";"Доставлен";"279.00";"Носки ""Ласточка""";"169491097";"398";"279.00";"1"
"08417244-0006";"08417244-0006-1";"2020-05-20 21:29:35";"2020-05-22 10:00:00";"Доставлен";"449.00";"Носки ""Звездные войны""";"169231287";"287";"449.00";"1"
"05467755-0076";"05467755-0076-1";"2020-05-20 17:08:59";"2020-05-22 10:00:00";"Доставлен";"319.00";"Носки ""Пчелиная прогулка""";"169293102";"343";"319.00";"1"
"05467755-0076";"05467755-0076-1";"2020-05-20 17:08:59";"2020-05-22 10:00:00";"Доставлен";"301.00";"Носки женские с рисунком ""Пчелки""";"170403797";"417";"301.00";"1"
"05344391-0018";"05344391-0018-2";"2020-05-20 16:02:06";"2020-05-22 10:00:00";"Доставлен";"299.00";"Арт носки ""Штурмовик""";"169834489";"M1216-det";"299.00";"1"
"14664991-0015";"14664991-0015-1";"2020-05-20 14:32:59";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Пушистые ушки""";"169834494";"M1218-det";"331.00";"1"
"14664991-0015";"14664991-0015-1";"2020-05-20 14:32:59";"2020-05-24 10:00:00";"Доставлен";"331.00";"Арт носки ""Клубника""";"169835828";"M1205-det";"331.00";"1"
"32683325-0003";"32683325-0003-3";"2020-05-20 13:09:05";"2020-05-23 10:00:00";"Доставлен";"331.00";"Женские дизайнерские носки с принтом Арт. ""Вино""";"170771375";"433";"331.00";"1"
"32683325-0003";"32683325-0003-3";"2020-05-20 13:09:05";"2020-05-23 10:00:00";"Доставлен";"331.00";"Носки женские дизайнерские с принтом Арт. ""Нутелла""";"171425404";"439";"331.00";"1"
"30791704-0031";"30791704-0031-4";"2020-05-20 11:42:54";"2020-05-22 10:00:00";"Доставлен";"331.00";"Арт носки ""Спанч Боб""";"169831415";"M1078";"331.00";"1"
"43898683-0002";"43898683-0002-2";"2020-05-20 10:48:33";"2020-05-27 10:00:00";"Доставлен";"638.00";"Носки ""Любимый пёсик""";"168914650";"164";"319.00";"2"
"43898683-0002";"43898683-0002-2";"2020-05-20 10:48:33";"2020-05-27 10:00:00";"Доставлен";"638.00";"Носки ""Лиза Симпсон""";"169570222";"402";"319.00";"2"
"09815356-0027";"09815356-0027-1";"2020-05-20 10:37:33";"2020-05-22 10:00:00";"Доставлен";"399.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"399.00";"1"
"17537629-0063";"17537629-0063-4";"2020-05-20 05:33:59";"2020-05-23 10:00:00";"Доставлен";"399.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"399.00";"1"
"36183526-0035";"36183526-0035-1";"2020-05-20 00:19:15";"2020-05-22 10:00:00";"Доставлен";"299.00";"Носки ""Мужской характер""";"169410524";"384";"299.00";"1"
"05725180-0016";"05725180-0016-2";"2020-05-19 22:28:29";"2020-05-21 10:00:00";"Доставлен";"349.00";"Носки ""Дарт Вейдер""";"169197601";"265";"349.00";"1"
"28228296-0011";"28228296-0011-3";"2020-05-19 21:48:42";"2020-05-20 10:00:00";"Доставлен";"299.00";"Носки ""Классика""""";"169334609";"380";"299.00";"1"
"28228296-0011";"28228296-0011-3";"2020-05-19 21:48:42";"2020-05-20 10:00:00";"Доставлен";"299.00";"Носки ""Желтые""";"169346688";"383";"299.00";"1"
"28228296-0011";"28228296-0011-3";"2020-05-19 21:48:42";"2020-05-20 10:00:00";"Доставлен";"299.00";"Носки ""Мужской характер""";"169410524";"384";"299.00";"1"
"07252821-0090";"07252821-0090-3";"2020-05-19 19:55:48";"2020-05-21 10:00:00";"Доставлен";"319.00";"Носки ""Ёжики""";"168720418";"103";"319.00";"1"
"31339439-0007";"31339439-0007-2";"2020-05-19 18:22:49";"2020-05-22 10:00:00";"Доставлен";"292.00";"Носки женские ""Пика-Пикачу""";"170403806";"412";"292.00";"1"
"41378068-0007";"41378068-0007-2";"2020-05-19 17:24:44";"2020-05-21 10:00:00";"Доставлен";"321.00";"Женские дизайнерские носки с принтом Арт. ""Фрида""";"170771359";"432";"321.00";"1"
"08665366-0070";"08665366-0070-9";"2020-05-19 15:59:09";"2020-05-21 10:00:00";"Доставлен";"350.00";"Носки мужские дизайнерские с принтом ""Бетмен""";"172065900";"444";"350.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"319.00";"Носки ""Ананасы""";"168914645";"178";"319.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"359.00";"Носки ""Капельки""";"169256362";"329";"359.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Микки маус""";"169830840";"M1074-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Падение мячей""";"169830865";"M1307-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Зеленые человечики""";"169832594";"M1150-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Капитан Америка""";"169832652";"M1242-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Рик Энштейн""";"169834477";"M1211-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Рик Энштейн""";"169834486";"M1221-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""R2-D2""";"169834491";"M1217-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""День  мертвых""";"169834498";"M1228-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Человек паук""";"169834516";"M1247-det";"331.00";"1"
"14838194-0044";"14838194-0044-6";"2020-05-19 13:58:44";"2020-05-21 10:00:00";"Доставлен";"331.00";"Арт носки ""Супер мэн""";"169834517";"M1246-det";"331.00";"1"
